"id";"parent";"level";"type";"name";"part";"v_total";"v_eu";"v_nation";"v_proc_eu";"v_proc_nation";
"12-2-3-1";"12-2-3";"e";"Administer";"Ministry of the Environment";"41";881;0;881;"0.0";"100.0";
"12-2-4";"12-2";"d";"Subtask 12.2.4";"Development of air protection programmes";;2292;0;2292;"0.0";"100.0";
"12-2-4-1";"12-2-4";"e";"Administer";"Ministry of the Environment";"41";162;0;162;"0.0";"100.0";
"12-2-4-2";"12-2-4";"e";"Administer";"Voivodes";"85";2130;0;2130;"0.0";"100.0";
"12-3";"12";"c";"Task 12.3";"Rational management of geological assets and structures";;5843;0;5843;"0.0";"100.0";
"12-3-1";"12-3";"d";"Subtask 12.3.1";"Collecting and disclosure of geological data and keeping of a register of mining areas";;1212;0;1212;"0.0";"100.0";
"12-3-1-1";"12-3-1";"e";"Administer";"Ministry of the Environment";"41";322;0;322;"0.0";"100.0";
"12-3-1-2";"12-3-1";"e";"Administer";"Voivodes";"85";890;0;890;"0.0";"100.0";
"12-3-2";"12-3";"d";"Subtask 12.3.2";"Geological studies, managing mineral resources and determination of available underground water resources";;3919;0;3919;"0.0";"100.0";
"12-3-2-1";"12-3-2";"e";"Administer";"Ministry of the Environment";"41";3862;0;3862;"0.0";"100.0";
"12-3-2-2";"12-3-2";"e";"Administer";"Voivodes";"85";57;0;57;"0.0";"100.0";
"12-3-3";"12-3";"d";"Subtask 12.3.3";"Promotion and dissemination of achievements in the field of geology";;712;0;712;"0.0";"100.0";
"12-3-3-1";"12-3-3";"e";"Administer";"Ministry of the Environment";"41";712;0;712;"0.0";"100.0";
"12-4";"12";"c";"Task 12.4";"Waste management";;208246;205437;2809;"98.65";"1.35";
"12-4-1";"12-4";"d";"Subtask 12.4.1";"Development and implementation of state policy with respect to waste management";;2562;0;2562;"0.0";"100.0";
"12-4-1-1";"12-4-1";"e";"Administer";"Ministry of the Environment";"41";1846;0;1846;"0.0";"100.0";
"12-4-1-2";"12-4-1";"e";"Administer";"Voivodes";"85";716;0;716;"0.0";"100.0";
"12-4-2";"12-4";"d";"Subtask 12.4.2";"Reduction of the environmental impact of waste";;205437;205437;0;"100.0";"0.0";
"12-4-2-1";"12-4-2";"e";"Administer";"Ministry of the Environment";"41";205437;205437;0;"100.0";"0.0";
"12-4-3";"12-4";"d";"Subtask 12.4.3";"Supervision and coordination of waste management";;247;0;247;"0.0";"100.0";
"12-4-3-1";"12-4-3";"e";"Administer";"Ministry of the Environment";"41";0;0;0;0;0;
"12-4-3-2";"12-4-3";"e";"Administer";"Voivodes";"85";247;0;247;"0.0";"100.0";
"12-5";"12";"c";"Task 12.5";"Water resources management";;656608;282278;374330;"42.99";"57.01";
"12-5-1";"12-5";"d";"Subtask 12.5.1";"Shaping, protection and use of water reservoirs";;25040;9085;15955;"36.28";"63.72";
"12-5-1-1";"12-5-1";"e";"Administer";"Ministry of the Environment";"22";25040;9085;15955;"36.28";"63.72";
"12-5-1-2";"12-5-1";"e";"Administer";"Ministry of the Environment";"41";0;0;0;0;0;
"12-5-2";"12-5";"d";"Subtask 12.5.2";"Maintenance of the entrusted assets related to water management";;133943;27938;106005;"20.86";"79.14";
"12-5-2-1";"12-5-2";"e";"Administer";"Ministry of the Environment";"22";133943;27938;106005;"20.86";"79.14";
"12-5-3";"12-5";"d";"Subtask 12.5.3";"Anti-fire protection and preventing the drought effects";;342461;245255;97206;"71.62";"28.38";
"12-5-3-1";"12-5-3";"e";"Administer";"Ministry of the Environment";"22";240832;143626;97206;"59.64";"40.36";
"12-5-3-2";"12-5-3";"e";"Administer";"Ministry of the Environment";"41";101629;101629;0;"100.0";"0.0";
"12-5-4";"12-5";"d";"Subtask 12.5.4";"Construction and maintenance of basic and particular water melioration equipment";;154517;0;154517;"0.0";"100.0";
"12-5-4-1";"12-5-4";"e";"Administer";"Voivodes";"85";154517;0;154517;"0.0";"100.0";
"12-5-5";"12-5";"d";"Subtask 12.5.5";"Multi-year programme “Construction of the Świnna Poręba Water Reservoir”";;64;0;64;"0.0";"100.0";
"12-5-5-1";"12-5-5";"e";"Administer";"Ministry of the Environment";"22";64;0;64;"0.0";"100.0";
"12-5-6";"12-5";"d";"Subtask 12.5.6";"Multi-year programme “Programme for the Oder 2006”";;583;0;583;"0.0";"100.0";
"12-5-6-1";"12-5-6";"e";"Administer";"Ministry of the Environment";"22";0;0;0;0;0;
"12-5-6-2";"12-5-6";"e";"Administer";"Voivodes";"85";583;0;583;"0.0";"100.0";
"12-6";"12";"c";"Task 12.6";"Extension of the environmental protection infrastructure";;2547502;2428826;118676;"95.34";"4.66";
"12-6-1";"12-6";"d";"Subtask 12.6.1";"Water and sewage management";;2288349;2288349;0;"100.0";"0.0";
"12-6-1-1";"12-6-1";"e";"Administer";"Ministry of the Environment";"41";2288349;2288349;0;"100.0";"0.0";
"12-6-2";"12-6";"d";"Subtask 12.6.2";"Investments adjusting the enterprises to the environmental protection requirements";;122754;122754;0;"100.0";"0.0";
"12-6-2-1";"12-6-2";"e";"Administer";"Ministry of the Environment";"41";122754;122754;0;"100.0";"0.0";
"12-6-3";"12-6";"d";"Subtask 12.6.3";"Tasks related to the implementation of projects financed from the Cohesion Fund";;22051;17723;4328;"80.37";"19.63";
"12-6-3-1";"12-6-3";"e";"Administer";"Ministry of the Environment";"41";22051;17723;4328;"80.37";"19.63";
"12-6-4";"12-6";"d";"Subtask 12.6.4";"Performance of tasks within the EEA Financial Mechanism, Norwegian Financial Mechanism, Bilateral Framework Agreement between Poland and Switzerland, Institutional Programmes and other aid programmes";;114348;0;114348;"0.0";"100.0";
"12-6-4-1";"12-6-4";"e";"Administer";"Ministry of the Environment";"41";114348;0;114348;"0.0";"100.0";
"12-7";"12";"c";"Task 12.7";"Environmental control and monitoring and prevention of serious failures";;174650;0;174650;"0.0";"100.0";
"12-7-1";"12-7";"d";"Subtask 12.7.1";"Control of entities using the environment, including the control with respect to prevention of serious failures";;55701;0;55701;"0.0";"100.0";
"12-7-1-1";"12-7-1";"e";"Administer";"Ministry of the Environment";"41";2093;0;2093;"0.0";"100.0";
"12-7-1-2";"12-7-1";"e";"Administer";"Voivodes";"85";53608;0;53608;"0.0";"100.0";
"12-7-2";"12-7";"d";"Subtask 12.7.2";"Environmental monitoring";;81379;0;81379;"0.0";"100.0";
"12-7-2-1";"12-7-2";"e";"Administer";"Ministry of the Environment";"41";3197;0;3197;"0.0";"100.0";
"12-7-2-2";"12-7-2";"e";"Administer";"Voivodes";"85";78182;0;78182;"0.0";"100.0";
"12-7-3";"12-7";"d";"Subtask 12.7.3";"Control of compliance with the environmental protection law and conducting administrative proceedings";;32366;0;32366;"0.0";"100.0";
"12-7-3-1";"12-7-3";"e";"Administer";"Ministry of the Environment";"41";32123;0;32123;"0.0";"100.0";
"12-7-3-2";"12-7-3";"e";"Administer";"Voivodes";"85";243;0;243;"0.0";"100.0";
"12-7-4";"12-7";"d";"Subtask 12.7.4";"Protection against the effects of natural threats";;4500;0;4500;"0.0";"100.0";
"12-7-4-1";"12-7-4";"e";"Administer";"Ministry of Agriculture and Rural Development";"32";4500;0;4500;"0.0";"100.0";
"12-7-4-2";"12-7-4";"e";"Administer";"Ministry of the Environment";"41";0;0;0;0;0;
"12-7-5";"12-7";"d";"Subtask 12.7.5";"Integrated permits and best available techniques";;704;0;704;"0.0";"100.0";
"12-7-5-1";"12-7-5";"e";"Administer";"Ministry of the Environment";"41";704;0;704;"0.0";"100.0";
"12-8";"12";"c";"Task 12.8";"Implementation of the state ecological policy";;10510;5009;5501;"47.66";"52.34";
